referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number
vbe37019,4.3160418,50.8294542,Rent,1225,Appartment,Flat,40213,1070,2021.0,New,88.0,2.0,1.0,False,9.0,False,From 15/06/2026,Brussels,Rue du Nieuwmolen,13.0,,,,,,,2
vbe19877,4.3193694,50.8569755,Rent,1200,Appartment,Flat,38140,1080,1968.0,Normal,100.0,2.0,1.0,True,,,,Brussels,,,1.0,,,,,,3
vbe36979,4.3709272,50.8459379,Rent,1690,Appartment,Flat,37194,1000,2022.0,Normal,87.0,2.0,1.0,True,,True,Immediately,Brussels,Rue Joseph II,21.0,,,,,,,4
vbe36965,4.3904064,50.80892685,Rent,2480,Appartment,Penthouse,28126,1050,,Fully renovated,95.0,2.0,1.0,True,,True,,Brussels,Avenue George Bergmann,65.0,,,,,,,5
vbe35025,4.3008967,50.8740942,Rent,3300,House,House,39656,1083,2001.0,Excellent,225.0,4.0,2.0,False,12.0,True,Immediately,Brussels,Venelle Vivaldi,20.0,1.0,8873.0,30212.0,20.0,,,6
vbe32724,4.313739,50.8918916,Rent,1190,Appartment,Flat,40587,1090,2012.0,Normal,78.0,2.0,1.0,,8.0,False,,Brussels,Avenue du Bourgmestre Etienne Demunter,19.0,,,,,,,7
vbe32595,4.3848205,50.8122615,Rent,1350,Appartment,Flat,46535,1050,,Normal,90.0,1.0,1.0,True,23.0,False,,Brussels,Avenue Adolphe Buyl,155.0,,,,,,,8
vbe34591,4.3735693,50.8160683,Rent,2200,Appartment,Flat,42479,1050,1915.0,Fully renovated,113.0,2.0,1.0,True,9.0,True,,Brussels,Boulevard de la Cambre,45.0,,,10709.0,,,,9
vbe36990,4.3506655,50.855791,Rent,1750,Appartment,Flat,39815,1000,1932.0,Normal,113.0,2.0,1.0,True,15.0,False,Immediately,Brussels,Quai au Foin,27.0,,,,,,,10
vbe33188,4.3658967,50.8379318,Rent,1650,Appartment,Duplex,48162,1050,,Excellent,97.0,2.0,2.0,True,32.0,False,Immediately,Brussels,Rue de Naples,37.0,,,16885.0,,,,11
