duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
1,vbe32936,3.3880367,50.6056059,Rent,570,Appartment,Flat,46633,7500,1920.0,Normal,59.0,1.0,1.0,,,False,From 01/05/2026,Hainaut,,,,,,,,,2083,
1,vbe32935,3.3880367,50.6056059,Rent,570,Appartment,Flat,46633,7500,1920.0,Fully renovated,59.0,1.0,1.0,,,False,From 01/05/2026,Hainaut,,,,,,,,,2076,
2,rbm60793,3.7105688,51.0394528,Rent,1500,Appartment,Flat,31541,9000,,,111.0,2.0,1.0,False,,,Immediately,Oost vlaanderen,Koning Albertlaan,112.0,,,,,False,,3096,
2,rbm60777,3.7105688,51.0394528,Rent,1500,Appartment,Flat,31541,9000,,,111.0,2.0,1.0,False,,,From 01/07/2024,Oost vlaanderen,Koning Albertlaan,112.0,,,,,False,,3090,
3,vbe36878,4.132162,50.665625,Rent,1150,House,House,44256,1430,1900.0,Fully renovated,130.0,2.0,1.0,False,,False,,Brabant wallon,,,,,,80.0,,,2521,
3,vbe36877,4.132162,50.665625,Rent,1150,House,House,44256,1430,1900.0,Fully renovated,130.0,2.0,1.0,False,,False,,Brabant wallon,,,,,,80.0,,,2518,
4,vwd16540,4.1526858,50.4828253,Rent,770,Appartment,Flat,40026,7110,,,88.0,2.0,1.0,,,,From 01/05/2026,Hainaut,Rue Léon Houtart,84.0,,,23078.0,,,,2460,
4,vwd17045,4.1526858,50.4828253,Rent,770,Appartment,Flat,40026,7110,,,88.0,2.0,1.0,,,,From 01/05/2026,Hainaut,Rue Léon Houtart,84.0,,,23078.0,,,,2413,
5,vbe35025,4.3008967,50.8740942,Rent,3300,House,House,39656,1083,2001.0,Excellent,225.0,4.0,2.0,False,12.0,True,Immediately,Brussels,Venelle Vivaldi,20.0,1.0,8873.0,30212.0,20.0,,,6,
5,vbe34270,4.3008967,50.8740942,Rent,3300,House,House,47606,1083,2001.0,New,225.0,4.0,2.0,False,12.0,True,Immediately,Brussels,Venelle Vivaldi,20.0,1.0,245.0,150.0,20.0,,,392,
6,vbe35107,4.3062305,50.8328315,Rent,700,Appartment,Flat,46472,1070,,,,,,,,True,From 12/09/2026,Brussels,Rue de Veeweyde Anderlecht,,,,,,False,,282,
6,vbe29976,4.3062305,50.8328315,Rent,700,Appartment,Flat,46472,1070,,,,,,,,True,From 01/09/2026,Brussels,Rue de Veeweyde Anderlecht,,,,,,False,,934,
7,vbe21603,4.3189971,50.5994103,Rent,1200,Appartment,Flat,27584,1400,2026.0,,84.0,2.0,1.0,True,8.0,False,Immediately,Brabant wallon,Avenue de la Galvanisation,12.0,,,,,,,2579,
7,vbe21336,4.3189971,50.5994103,Rent,1200,Appartment,Flat,27584,1400,2026.0,,84.0,2.0,1.0,True,8.0,False,Immediately,Brabant wallon,Avenue de la Galvanisation,12.0,,,,,,,2697,
8,vbe27088,4.3259467,50.6176383,Rent,1100,Appartment,Flat,41004,1400,,Excellent,100.0,2.0,1.0,True,,False,,Brabant wallon,Avenue de France,21.0,,,4633.0,,,False,2628,
8,vbe36913,4.3259467,50.6176383,Rent,1100,Appartment,Flat,41004,1400,,Excellent,100.0,2.0,1.0,True,,False,,Brabant wallon,Avenue de France,21.0,,,4633.0,,,,2506,
9,vbe23033,4.3308649,50.5886574,Rent,850,Appartment,Flat,41004,1400,,Normal,98.0,2.0,1.0,True,,False,Immediately,Brabant wallon,,,,,24754.0,,,False,2672,
9,vbe13067,4.3308649,50.5886574,Rent,850,Appartment,Flat,41004,1400,,Normal,98.0,2.0,1.0,True,,False,Immediately,Brabant wallon,,,,,24754.0,,,False,2713,
10,vbe35472,4.3308649,50.5886574,Rent,1050,Appartment,Flat,33156,1400,,,104.0,2.0,,,,,From 01/10/2026,Brabant wallon,,,,,,,,,2532,
10,vbe33405,4.3308649,50.5886574,Rent,1050,Appartment,Flat,33156,1400,,,104.0,2.0,,,,,From 01/09/2026,Brabant wallon,,,,,,,,,2555,
11,vbe31027,4.3333333,50.8,Rent,3200,House,House,39905,1180,1980.0,Excellent,227.0,3.0,3.0,False,83.0,False,Immediately,Brussels,,,1.0,806.0,55529.0,10.0,,,660,
