referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number
vbe35095,4.3876671,50.8469517,Sale,395000,Appartment,Duplex,46453,1000,1900.0,Excellent,120.0,2.0,2.0,False,,True,On contract,Brussels,Rue des Patriotes,9.0,,,,,,,3994
vbe35040,4.3766927,50.8235717,Sale,465000,Appartment,Flat,44165,1050,1959.0,Fully renovated,83.0,2.0,1.0,True,2.0,False,On contract,Brussels,Rdpt de l'Etoile,5.0,,,12178.0,,,,3995
vbe34650,4.3415279,50.8103165,Sale,190000,Appartment,Flat,46535,1180,,To be renovated,50.0,1.0,1.0,False,,False,Immediately,Brussels,Rue des Glaïeuls,17.0,,,,,,,3996
rbw19605,4.3333333,50.8,Sale,155000,Appartment,FlatStudio,48985,1180,1978.0,Excellent,54.0,1.0,1.0,,,,,Brussels,,,,,,,,,3997
vbe34000,4.4005491,50.8501828,Sale,329000,Appartment,Flat,46371,1030,1959.0,Normal,115.0,2.0,1.0,True,,False,,Brussels,Avenue Lacomblé,14.0,1.0,,,,True,,3998
vbe34263,4.3242407,50.8455239,Sale,319000,Appartment,Duplex,46371,1070,1944.0,To renovate,144.0,3.0,1.0,False,,False,,Brussels,Rue Léon Delacroix,23.0,,,,,True,,3999
vbe35189,4.4528542,50.832327,Sale,925000,House,House,46535,1150,1936.0,To be renovated,200.0,5.0,2.0,False,,False,,Brussels,Avenue Orban,20.0,,440.0,,300.0,,,4000
vbe35094,4.3733382,50.8516118,Sale,295000,Appartment,Flat,46453,1210,1902.0,Normal,70.0,2.0,1.0,False,7.0,False,On contract,Brussels,Rue Saint-Josse,13.0,,,,,,,4001
vbe34652,4.3742387,50.8512144,Sale,150000,Appartment,FlatStudio,40225,1210,1965.0,To renovate,34.0,0.0,1.0,True,15.0,False,On contract,Brussels,Rue de la Ferme,16.0,,,11112.0,,,,4002
vbe34034,4.4098093,50.8206834,Sale,625000,House,MixedBuilding,40587,1160,1915.0,Normal,188.0,4.0,2.0,,,False,On contract,Brussels,Chaussée de Wavre,1266.0,,,270.0,,,,4003
vbe33924,4.3193694,50.8569755,Sale,550000,House,MixedBuilding,38140,1080,1960.0,Excellent,240.0,2.0,2.0,,20.0,,,Brussels,,,1.0,,,135.0,,,4004
rbw17015,4.38865,50.81896,Sale,1080000,Appartment,Flat,48985,1050,,Excellent,253.0,3.0,1.0,True,,,Negotiable,Brussels,RUE DE L'ÉTÉ,53.0,,,,,True,,4005
vbe33925,4.3515499,50.8427501,Sale,339000,Appartment,Flat,38140,1000,1997.0,Excellent,80.0,1.0,1.0,True,,False,On contract,Brussels,,,,,,,,,4006
vbe32699,4.3672239,50.8227567,Sale,185000,Appartment,FlatStudio,46535,1000,,Normal,38.0,,1.0,True,,,Immediately,Brussels,Chaussée de Vleurgat,154.0,,,,,,,4007
vbe32420,4.30253,50.87113,Sale,225000,Appartment,Flat,38140,1083,1950.0,Normal,85.0,1.0,1.0,True,4.0,False,,Brussels,,,,,21566.0,,,,4008
vbe32350,4.399615,50.874464,Sale,235000,Appartment,Flat,42987,1140,,To renovate,90.0,3.0,1.0,True,,,On contract,Brussels,,,,,,,,,4010
vbe32440,4.3766927,50.8235717,Sale,310000,Appartment,GroundFloor,27205,1050,,Normal,60.0,1.0,1.0,True,,False,,Brussels,,,,,10872.0,,,,4011
vbe32723,4.4140542,50.8135769,Sale,300000,Appartment,Flat,40587,1160,1962.0,Normal,70.0,2.0,1.0,,15.0,False,On contract,Brussels,Avenue de Beaulieu,2.0,,,,,,,4012
vbd27505,4.3166667,50.8,Sale,350000,House,House,27205,1190,1884.0,To be renovated,170.0,7.0,1.0,,,,,Brussels,,,,,122998.0,60.0,,,4013
rbw26182,4.3333333,50.8,Sale,1290000,House,Villa,49240,1180,1927.0,Excellent,330.0,6.0,3.0,False,20.0,False,On contract,Brussels,,,1.0,450.0,,530.0,,,4014
rbw26183,4.3333333,50.8,Sale,1100000,House,Villa,49240,1180,1905.0,To be renovated,204.0,4.0,2.0,False,,False,On contract,Brussels,,,,1594.0,,1594.0,,,4015
vbe36902,4.3789342,50.8411553,Sale,435000,Appartment,Flat,45529,1000,2014.0,Normal,88.0,2.0,1.0,True,6.0,,On contract,Brussels,Chaussée d'Etterbeek,51.0,,,,,,,4016
vbe36970,4.2893543,50.8623456,Sale,389000,House,House,40405,1082,1930.0,Normal,140.0,4.0,1.0,False,18.0,,,Brussels,Rue de Grand-Bigard,384.0,,,339.0,54.0,,,4017
vbe36909,4.3166667,50.8,Sale,175000,Appartment,Flat,43156,1190,1938.0,To be renovated,52.0,1.0,1.0,False,,False,,Brussels,,,,,,,,,4018
vbe36895,4.4329851,50.8381484,Sale,975000,House,House,46007,1150,1954.0,Excellent,240.0,5.0,2.0,False,10.0,False,On contract,Brussels,,,1.0,585.0,,500.0,,,4019
rbw26178,4.3333333,50.8,Sale,1690000,House,Villa,49240,1180,1910.0,To be renovated,230.0,5.0,1.0,False,50.0,False,On contract,Brussels,,,1.0,1200.0,,950.0,,,4020
vbe37032,4.3515499,50.8427501,Sale,355000,Appartment,Flat,28161,1000,,,55.0,1.0,1.0,,18.0,,,Brussels,,,,,,,,,4021
rbw26179,4.3407539,50.7748717,Sale,1995000,House,House,49240,1180,1875.0,Normal,415.0,5.0,2.0,False,25.0,False,On contract,Brussels,Avenue des Hospices,186.0,4.0,77000.0,,7700.0,,True,4022
vbe37012,4.381355,50.8242662,Sale,235000,Appartment,Flat,43156,1050,1953.0,To be renovated,62.0,1.0,1.0,False,4.0,False,On contract,Brussels,Rue Leon Cuissez,60.0,,,,,,,4023
rbw26287,4.3102106,50.8420959,Sale,280000,Appartment,Flat,45647,1070,2009.0,,96.0,2.0,1.0,True,40.0,,,Brussels,Rue Démosthène,65.0,,,,,False,,4024
vbe36962,4.4033689,50.830747,Sale,210000,Appartment,FlatStudio,47575,1040,1975.0,Normal,46.0,0.0,1.0,True,10.0,,On contract,Brussels,Boulevard Louis Schmidt,78.0,1.0,,,,,,4025
vbe36968,4.435191,50.8477202,Sale,375000,Appartment,Flat,27466,1200,1965.0,Normal,123.0,3.0,2.0,True,2.0,False,On contract,Brussels,Avenue Paul Hymans,139.0,1.0,,38426.0,,True,,4026
vbe36997,4.3246279,50.8142177,Sale,420000,Appartment,Penthouse,45787,1190,2019.0,,92.0,2.0,2.0,False,18.0,,,Brussels,Avenue Van Volxem,14.0,,,,,False,,4027
vbe37014,4.373188,50.8941796,Sale,215000,Appartment,Flat,40405,1120,1974.0,Normal,61.0,1.0,1.0,False,2.0,False,,Brussels,Avenue du Roi Albert,43.0,,,,,,,4028
vbe36921,4.418088,50.895148,Sale,325000,Appartment,GroundFloor,37194,1130,2026.0,New,74.0,1.0,1.0,True,34.0,False,On contract,Brussels,Rue Servandoni,47.0,,,,150.0,,,4029
vbe37027,4.3515499,50.8427501,Sale,239000,Appartment,Flat,37194,1000,1930.0,Excellent,71.0,1.0,1.0,False,,,Immediately,Brussels,,,,,,,,,4030
rbw26285,4.2841726,50.8257354,Sale,200000,Appartment,Flat,45647,1070,1963.0,,76.0,2.0,1.0,True,,,,Brussels,Avenue Marius Renard,45.0,,,,,False,,4031
vbe36838,4.3544508,50.8203664,Sale,1300000,House,House,43156,1050,1929.0,Excellent,250.0,4.0,3.0,True,40.0,False,On contract,Brussels,Rue Franz Merjay,48.0,1.0,139.0,,,,,4032
rbw26158,4.344549,50.8516921,Sale,345000,Appartment,Flat,30847,1000,,Normal,96.0,1.0,1.0,,,False,Negotiable,Brussels,Antoine Dansaertstraat,113.0,,,,,,,4033
vbe36780,4.3719368,50.8203122,Sale,450000,Appartment,Flat,27241,1000,,Normal,120.0,2.0,2.0,True,5.0,False,On contract,Brussels,Rue de Belle-Vue,36.0,,,,,,,4034
vbe36847,4.308187,50.8365808,Sale,179000,Appartment,Flat,40405,1070,,Fully renovated,60.0,2.0,1.0,False,1.0,False,On contract,Brussels,,,,,,,,,4035
vbe36879,4.43382,50.83227,Sale,1395000,House,Villa,48202,1150,1899.0,New,180.0,3.0,1.0,,,,Immediately,Brussels,BOVENBERG,122.0,,,,183.0,,,4036
vbe36855,4.3213266,50.8690254,Sale,750000,House,MixedBuilding,40940,1083,1933.0,To renovate,282.0,5.0,3.0,False,10.0,False,On contract,Brussels,Avenue Jacques Sermon,52.0,,150.0,,50.0,,,4037
vbe36849,4.3333333,50.8,Sale,595000,Appartment,Flat,39602,1180,,,144.0,2.0,2.0,,30.0,,,Brussels,,,1.0,,,,,,4038
vbe36830,4.3926085,50.8037413,Sale,495000,Appartment,Flat,47577,1050,1974.0,Normal,113.0,2.0,1.0,True,25.0,False,,Brussels,Avenue d'Italie,32.0,1.0,,,,,,4039
vbe36891,4.3841357,50.8776808,Sale,215000,Appartment,Flat,45858,1030,,Normal,75.0,1.0,1.0,False,,,,Brussels,Avenue Colonel Picquart,66.0,,,,,,,4040
vbe36836,4.4387447,50.818351,Sale,1995000,House,House,43156,1160,1962.0,Normal,452.0,5.0,3.0,False,21.0,False,On contract,Brussels,Avenue Cardinal Micara,56.0,,1250.0,89186.0,700.0,,,4041
rbw26168,4.3766927,50.8235717,Sale,1300000,Appartment,Penthouse,49069,1050,1929.0,Excellent,278.0,4.0,,True,24.0,,Immediately,Brussels,,,1.0,,,,,,4042
vbe36777,4.399615,50.874464,Sale,495000,House,House,40956,1140,,Normal,190.0,3.0,1.0,False,12.0,False,Immediately,Brussels,,,,,,30.0,False,,4043
vbe36837,4.3889399,50.8078925,Sale,245000,Appartment,FlatStudio,43156,1050,1957.0,Normal,68.0,0.0,1.0,True,3.0,False,On contract,Brussels,Avenue George Bergmann,120.0,,,,,,,4044
vbe36848,4.3193694,50.8569755,Sale,179000,Appartment,Flat,40405,1080,,Fully renovated,60.0,2.0,1.0,False,1.0,False,On contract,Brussels,,,,,,,,,4045
vbe36781,4.3719368,50.8203122,Sale,450000,Appartment,Flat,27241,1050,,Normal,120.0,2.0,2.0,True,5.0,False,On contract,Brussels,Rue de Belle-Vue,36.0,,,,,,,4046
vbe36828,4.3402184,50.8301436,Sale,425000,Appartment,Flat,46478,1060,1953.0,To be renovated,105.0,2.0,1.0,True,3.0,False,,Brussels,,,1.0,,,,,,4047
rbw26154,4.3333333,50.8,Sale,1230000,House,Villa,49240,1180,1952.0,Excellent,203.0,4.0,2.0,False,30.0,False,On contract,Brussels,,,1.0,330.0,,200.0,,,4048
vbe36816,4.36818329,50.86398705,Sale,395000,Appartment,GroundFloor,27443,1030,1881.0,Normal,157.0,3.0,1.0,False,,False,,Brussels,Rue Vandeweyer,26.0,,,,102.0,,,4049
rbw26139,4.3166667,50.8,Sale,549000,Appartment,Loft,49240,1190,2006.0,Excellent,180.0,2.0,1.0,False,,False,On contract,Brussels,,,,,,,,,4050
vbe36798,4.3469919,50.8498196,Sale,333000,Appartment,Flat,42988,1000,1965.0,Normal,83.0,1.0,1.0,True,,False,On contract,Brussels,Antoine Dansaertstraat,63.0,,,,,,,4051
vbe36759,4.3547929,50.7943377,Sale,349000,Appartment,Flat,27497,1180,1976.0,To be renovated,95.0,2.0,1.0,True,8.0,False,On contract,Brussels,Avenue Den Doorn,1.0,1.0,,,,,,4052
vbe36624,4.3381538,50.8598988,Sale,595000,Appartment,Loft,27214,1000,1950.0,Excellent,257.0,2.0,1.0,False,25.0,True,On contract,Brussels,Rue Jennart,27.0,,,,,,,4053
vbe36740,4.3227894,50.8808582,Sale,420000,House,House,43761,1090,1960.0,To be renovated,250.0,4.0,1.0,False,10.0,False,On contract,Brussels,,,,,,80.0,,,4054
rbw26085,4.3333333,50.8,Sale,565000,House,House,48985,1180,1940.0,Normal,155.0,3.0,1.0,,,,On contract,Brussels,,,,,,,,,4055
vbe36775,4.308187,50.8365808,Sale,350000,Appartment,Penthouse,45859,1070,2004.0,Excellent,100.0,2.0,1.0,True,87.0,False,On contract,Brussels,,,2.0,,21332.0,,False,,4056
vbe36682,4.3606731,50.8622566,Sale,119000,Appartment,FlatStudio,27760,1030,1977.0,To renovate,36.0,0.0,1.0,True,5.0,False,On contract,Brussels,Rue du Progrès,187.0,,,5419.0,,,,4057
rbw25614,4.4089812,50.8484495,Sale,520000,Appartment,Flat,31820,1030,,Excellent,126.0,2.0,2.0,,,False,,Brussels,Avenue Herbert Hoover,119.0,1.0,,,,,,4058
vbe36645,4.423892,50.842365,Sale,795000,House,House,29033,1200,1938.0,Excellent,296.0,5.0,2.0,False,10.0,False,,Brussels,,,1.0,160.0,61446.0,40.0,,,4059
vbe36637,4.347254,50.8472572,Sale,189000,Appartment,Flat,27497,1000,,Normal,40.0,1.0,1.0,False,,False,On contract,Brussels,Rue Saint-Géry,25.0,,,,,,,4060
rbw25609,4.425082,50.817175,Sale,650000,House,House,49238,1160,1953.0,Normal,134.0,3.0,1.0,False,,False,On contract,Brussels,,,1.0,215.0,,,,,4061
