duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
1,rbw20311,2.5937598,51.1009463,Sale,579000,House,Villa,42619,8660,,Normal,181.0,4.0,1.0,False,,False,,West vlaanderen,Meeuwenlaan,26.0,1.0,399.0,,,,,12520,
1,rbw20310,2.5937598,51.1009463,Sale,579000,House,Villa,42619,8660,,Normal,181.0,4.0,1.0,False,,False,,West vlaanderen,Meeuwenlaan,26.0,1.0,399.0,,,,,12512,
2,rbw12387,2.6141814,51.1086131,Sale,299000,Appartment,Flat,40529,8670,2014.0,Fully renovated,83.0,2.0,,True,,,,West vlaanderen,Smeyerslaan,7.0,,,,,,,13024,
2,rbv66910,2.6141814,51.1086131,Sale,299000,Appartment,Flat,40529,8670,2014.0,Fully renovated,83.0,2.0,,True,,,,West vlaanderen,Smeyerslaan,7.0,,,,,,,13035,
3,rbv66907,2.6195263,51.1144268,Sale,469000,Appartment,Penthouse,40529,8670,,Fully renovated,85.0,2.0,1.0,True,,,,West vlaanderen,Koninginnelaan,64.0,,,,,,,12714,
3,rbw26161,2.6195263,51.1144268,Sale,469000,Appartment,Penthouse,40529,8670,,Fully renovated,85.0,2.0,1.0,True,,,,West vlaanderen,Koninginnelaan,64.0,,,,,,,12333,
4,rbw24820,3.00473,51.18452,Sale,348500,House,House,30482,8460,,,133.0,3.0,,,,,,West vlaanderen,Oude Brugseweg,11.0,,231.0,,,,,12413,
4,rbw24818,3.00473,51.18452,Sale,348500,House,House,30482,8460,,,133.0,3.0,,,,,,West vlaanderen,Oude Brugseweg,11.0,,232.0,,,,,12422,
5,rbw26019,3.12337,50.94466,Sale,197891,House,House,30482,8800,,,75.0,1.0,,,,,,West vlaanderen,Simonne Brugghestraat,26.0,,,,,,,12329,
5,rbw26013,3.12337,50.94466,Sale,197891,House,House,30482,8800,,,75.0,1.0,,,,,,West vlaanderen,Simonne Brugghestraat,26.0,,,,,,,12332,
6,rbw26021,3.12337,50.94466,Sale,203773,House,House,30482,8800,,New,76.0,1.0,,,,,,West vlaanderen,Simonne Brugghestraat,26.0,,431.0,,,,,12324,
6,rbw26014,3.12337,50.94466,Sale,203773,House,House,30482,8800,,New,76.0,1.0,,,,,,West vlaanderen,Simonne Brugghestraat,26.0,,347.0,,,,,12339,
7,rbw26018,3.12337,50.94466,Sale,288000,House,House,30482,8800,,,140.0,3.0,,,,,,West vlaanderen,Gitsestraat,545.0,,230.0,,,,,12323,
7,rbw26016,3.12337,50.94466,Sale,288000,House,House,30482,8800,,,140.0,3.0,,,,,,West vlaanderen,Gitsestraat,545.0,,237.0,,,,,12325,
7,rbw26015,3.12337,50.94466,Sale,288000,House,House,30482,8800,,,140.0,3.0,,,,,,West vlaanderen,Gitsestraat,545.0,,234.0,,,,,12327,
8,rbv87497,3.1327685,51.3123743,Sale,439900,Appartment,Flat,38339,8370,2026.0,New,119.0,2.0,1.0,True,,,,West vlaanderen,,,,,,,,,12768,
8,rbv87496,3.1327685,51.3123743,Sale,439900,Appartment,Flat,38339,8370,2026.0,New,119.0,2.0,1.0,True,,,,West vlaanderen,,,,,,,,,12780,
9,rbv87490,3.1327685,51.3123743,Sale,698000,Appartment,Flat,38339,8370,2026.0,New,152.0,3.0,2.0,True,,,,West vlaanderen,,,,,,,,,12791,
